,CustomerID,Freq,SaleAmount,ElapsedDays
0,12346,1,77183.6,326
1,12347,182,4310.0,3
2,12348,31,1797.24,76
3,12349,73,1757.55,19
4,12350,17,334.4,311
5,12352,85,2506.04,37
6,12353,4,89.0,205
7,12354,58,1079.4,233
8,12355,13,459.4,215
9,12356,59,2811.43,23
10,12357,131,6207.67,34
11,12358,19,1168.06,2
12,12359,245,6310.03,58
13,12360,129,2662.06,53
14,12361,10,189.9,288
15,12362,266,5226.23,4
16,12363,23,552.0,110
17,12364,85,1313.1,8
18,12365,22,641.38,292
19,12367,11,168.9,5
20,12370,166,3541.94,52
21,12371,63,1887.96,45
22,12372,52,1298.04,72
23,12373,14,364.6,312
24,12374,33,742.9300000000001,26
25,12375,17,457.5,11
26,12377,77,1628.12,316
27,12378,219,4008.62,130
28,12379,40,852.24,82
29,12380,104,2724.81,22
30,12381,87,1845.31,5
31,12383,99,1850.56,185
32,12384,27,585.27,29
33,12386,10,401.9,338
34,12388,100,2780.66,16
35,12390,32,549.84,80
36,12391,93,439.66,22
37,12393,64,1582.6000000000001,73
38,12394,27,1272.48,64
39,12395,156,3018.63,20
40,12397,126,2409.9,36
41,12398,85,1635.6599999999999,46
42,12399,59,1108.65,120
43,12401,5,84.3,304
44,12402,11,225.6,324
45,12403,5,427.7,50
46,12405,54,1710.39,149
47,12406,105,3415.3,23
48,12407,77,1708.1200000000001,50
49,12408,105,2888.55,33
50,12409,109,11072.67,79
51,12410,26,693.3299999999999,309
52,12412,61,1226.88,75
53,12413,38,758.1,67
54,12414,18,562.41,218
55,12415,714,124914.53,25
56,12417,192,3649.1,4
57,12418,34,668.58,113
58,12420,29,600.39,64
59,12421,45,807.04,16
60,12422,39,803.5600000000001,96
61,12423,125,1859.31,1
62,12424,30,1760.96,163
63,12425,36,777.2,79
64,12426,30,582.73,195
65,12427,31,825.8,22
66,12428,294,7956.46,26
67,12429,97,3750.4,10
68,12430,11,256.4,44
69,12431,234,6419.95,36
70,12432,108,5059.32,43
71,12433,420,13375.87,1
72,12434,50,806.14,85
73,12435,36,7829.89,80
74,12436,16,509.01,100
75,12437,199,4951.41,2
76,12438,98,2906.85,15
77,12441,11,173.55,367
78,12442,12,172.06,4
79,12444,176,5005.46,22
80,12445,4,133.4,23
81,12446,57,1002.3100000000001,58
82,12447,26,476.49,244
83,12448,22,449.45,45
84,12449,191,4067.29,23
85,12450,8,197.88,157
86,12451,354,9035.52,11
87,12452,22,430.57,17
88,12453,43,707.09,135
89,12454,15,3528.34,57
90,12455,90,2466.86,74
91,12456,125,3181.04,45
92,12457,62,2363.23,67
93,12458,38,947.4,72
94,12461,35,826.88,95
95,12462,62,1189.59,19
96,12463,83,1344.78,54
97,12464,29,1212.05,11
98,12465,47,742.1899999999999,18
99,12468,38,729.5400000000001,188
100,12471,459,19788.65,3
101,12472,339,6572.11,33
102,12473,167,3928.0499999999997,30
103,12474,422,7324.09,18
104,12475,36,723.38,54
105,12476,233,6816.42,16
106,12477,300,13219.74,23
107,12478,36,680.99,4
108,12479,31,527.2,12
109,12480,154,3281.63,29
110,12481,216,5579.82,23
111,12483,75,2484.98,18
112,12484,343,4527.32,33
113,12488,55,1298.66,10
114,12489,15,334.93,337
115,12490,245,5417.93,6
116,12491,26,460.40000000000003,39
117,12492,20,263.21000000000004,64
118,12493,22,433.74,166
119,12494,77,1246.1000000000001,16
120,12497,14,1043.1,82
121,12498,23,403.70000000000005,22
122,12500,61,4257.82,24
123,12501,149,2169.39,337
124,12502,147,3723.87,96
125,12504,9,482.04999999999995,19
126,12506,23,73.5,233
127,12507,21,1304.81,135
128,12508,68,397.88,27
129,12509,7,176.5,285
130,12510,33,982.5699999999999,143
131,12512,31,132.18,67
132,12513,35,612.29,113
133,12514,51,1017.68,268
134,12515,16,383.7,354
135,12516,26,1312.06,78
136,12517,279,2481.6,29
137,12518,124,2056.89,1
138,12519,17,330.84,64
139,12520,152,2634.26,80
140,12521,38,599.68,143
141,12522,12,192.72,40
142,12523,106,1789.77,20
143,12524,144,4485.72,10
144,12526,71,1316.66,1
145,12527,18,348.71000000000004,82
146,12528,92,1933.48,10
147,12530,66,1662.28,60
148,12531,17,125.22,15
149,12532,16,349.83000000000004,31
150,12534,63,1089.18,131
151,12535,34,716.35,92
152,12536,261,12601.830000000002,44
153,12538,21,363.95,30
154,12539,273,5568.35,23
155,12540,478,13400.24,20
156,12541,52,981.18,30
157,12544,19,372.7,37
158,12545,50,1000.39,76
159,12546,69,1161.5,47
160,12547,8,207.79999999999998,198
161,12548,5,95.19999999999999,167
162,12550,57,964.83,80
163,12551,10,168.0,358
164,12552,20,437.82,39
165,12553,191,3692.28,9
166,12556,119,599.56,51
167,12557,33,11990.960000000001,17
168,12558,11,269.96,8
169,12559,21,561.71,311
170,12560,105,2134.01,6
171,12561,16,238.85,303
172,12562,168,3781.7400000000002,9
173,12564,21,456.9,262
174,12565,9,145.92,289
175,12566,19,351.65,87
176,12567,446,9401.28,23
177,12569,188,4124.69,3
178,12571,34,519.61,40
179,12572,60,1020.42,9
180,12573,28,160.54000000000002,228
181,12574,11,218.45,316
182,12576,88,1315.83,36
183,12577,146,626.6,36
184,12578,114,2794.51,22
185,12579,29,440.42,79
186,12580,24,415.7,247
187,12581,15,197.71,40
188,12582,22,511.36,239
189,12583,247,7281.38,3
190,12584,96,2338.15,4
191,12585,87,2040.1,235
192,12586,11,196.94000000000003,18
193,12587,4,144.0,8
194,12588,10,214.89999999999998,40
195,12589,35,646.68,29
196,12590,68,9864.26,212
197,12591,26,452.84999999999997,318
198,12592,18,437.6,93
199,12593,21,418.09999999999997,109
200,12594,118,3338.2200000000003,38
201,12596,27,618.27,52
202,12597,206,3811.22,20
203,12598,132,3023.08,10
204,12599,62,1032.58,30
205,12600,64,2599.04,29
206,12601,28,577.0600000000001,190
207,12602,12,153.12,59
208,12603,2,739.1999999999999,22
209,12604,16,254.18,80
210,12607,101,1579.51,61
211,12609,60,1126.85,79
212,12610,106,2099.54,23
213,12611,65,1193.32,53
214,12612,19,704.0400000000001,75
215,12613,153,3344.38,58
216,12614,20,315.6,278
217,12615,105,2291.19,3
218,12616,32,713.3,96
219,12617,41,352.98,30
220,12618,11,177.31,22
221,12619,90,3641.24,17
222,12620,92,1339.41,15
223,12621,467,13689.67,2
224,12622,11,180.1,233
225,12623,18,305.1,277
226,12624,38,641.13,107
227,12625,86,2683.82,212
228,12626,294,6620.48,24
229,12627,230,4478.53,11
230,12628,41,786.46,5
231,12630,64,1270.88,10
232,12631,31,640.5,58
233,12633,101,2163.98,59
234,12635,101,1689.18,90
235,12637,382,6002.9,68
236,12638,39,671.69,34
237,12639,22,486.1,239
238,12640,53,1174.58,24
239,12641,10,185.9,116
240,12642,47,1013.26,26
241,12643,24,3344.64,129
242,12644,31,477.91,130
243,12645,73,1775.18,34
244,12646,45,1346.97,5
245,12647,121,3722.82,23
246,12648,21,318.05,155
247,12649,31,623.51,108
248,12650,20,314.44,4
249,12651,9,114.0,335
250,12652,48,919.98,332
251,12653,43,2209.85,149
252,12654,38,601.98,11
253,12656,126,4051.17,18
254,12657,47,1643.18,12
255,12658,36,686.05,19
